ano,cod_mun,num_obt,mês,ano_mes,qtd_fam,vlr_bnf
2004,210005,54,1,200401,2625,206615.0
2004,210005,54,2,200402,2625,206615.0
2004,210005,54,3,200403,2625,206615.0
2004,210005,54,4,200404,2625,205055.0
2004,210005,54,5,200405,2625,204650.0
2004,210005,54,6,200406,2625,204320.0
2004,210005,54,7,200407,2625,204050.0
2004,210005,54,8,200408,2625,203765.0
2004,210005,54,9,200409,2723,209690.0
2004,210005,54,10,200410,2990,216754.0
2004,210005,54,11,200411,4069,294996.0
2004,210005,54,12,200412,4879,350393.0
2005,210005,47,1,200501,4883,346855.0
2005,210005,47,2,200502,4873,346365.0
2005,210005,47,3,200503,4873,346365.0
2005,210005,47,4,200504,4910,348759.0
2005,210005,47,5,200505,5151,366939.0
2005,210005,47,6,200506,5152,366920.0
2005,210005,47,7,200507,5506,375802.0
2005,210005,47,8,200508,5523,376413.0
2005,210005,47,9,200509,5563,376711.0
2005,210005,47,10,200510,5599,377880.0
2005,210005,47,11,200511,5540,373111.0
2005,210005,47,12,200512,5581,375478.0
2006,210005,52,1,200601,5502,363643.0
2006,210005,52,2,200602,5502,363537.0
2006,210005,52,3,200603,5490,363120.0
2006,210005,52,4,200604,5940,394218.0
2006,210005,52,5,200605,6852,453164.0
2006,210005,52,6,200606,8925,555851.0
2006,210005,52,7,200607,8817,551827.0
2006,210005,52,8,200608,8820,552230.0
2006,210005,52,9,200609,8705,543567.0
2006,210005,52,10,200610,7997,495090.0
2006,210005,52,11,200611,8568,538662.0
2006,210005,52,12,200612,8527,539767.0
2007,210005,53,1,200701,8555,537420.0
2007,210005,53,2,200702,8483,530678.0
2007,210005,53,3,200703,8686,543138.0
2007,210005,53,4,200704,8663,539443.0
2007,210005,53,5,200705,8645,536372.0
2007,210005,53,6,200706,8365,522492.0
2007,210005,53,7,200707,8390,524677.0
2007,210005,53,8,200708,8416,621295.0
2007,210005,53,9,200709,8401,625710.0
2007,210005,53,10,200710,8663,655268.0
2007,210005,53,11,200711,8719,664237.0
2007,210005,53,12,200712,8747,668521.0
2008,210005,39,1,200801,8778,672914.0
2008,210005,39,2,200802,8743,669810.0
2008,210005,39,3,200803,8590,679955.0
2008,210005,39,4,200804,8603,683443.0
2008,210005,39,5,200805,8576,665757.0
2008,210005,39,6,200806,8440,647901.0
2008,210005,39,7,200807,8337,690763.0
2008,210005,39,8,200808,8347,693495.0
2008,210005,39,9,200809,9183,792587.0
2008,210005,39,10,200810,9217,793889.0
2008,210005,39,11,200811,9201,793675.0
2008,210005,39,12,200812,9159,791549.0
2009,210005,36,1,200901,9475,804707.0
2009,210005,36,2,200902,9194,799813.0
2009,210005,36,3,200903,9191,801867.0
2009,210005,36,4,200904,9205,799537.0
2009,210005,36,5,200905,12656,1012949.0
2009,210005,36,6,200906,12600,1038011.0
2009,210005,36,7,200907,12489,1038071.0
2009,210005,36,8,200908,12470,1044647.0
2009,210005,36,9,200909,12413,1177302.0
2009,210005,36,10,200910,12852,1225303.0
2009,210005,36,11,200911,12814,1226914.0
2009,210005,36,12,200912,12746,1237059.0
2010,210005,29,1,201001,12910,1220730.0
2010,210005,29,2,201002,12709,1214160.0
2010,210005,29,3,201003,12755,1222812.0
2010,210005,29,4,201004,12774,1231878.0
2010,210005,29,5,201005,12769,1244739.0
2010,210005,29,6,201006,12790,1266811.0
2010,210005,29,7,201007,12710,1278094.0
2010,210005,29,8,201008,12717,1288583.0
2010,210005,29,9,201009,12684,1293953.0
2010,210005,29,10,201010,12546,1310443.0
2010,210005,29,11,201011,13070,1336892.0
2010,210005,29,12,201012,13121,1346849.0
2011,210005,36,1,201101,13037,1307115.0
2011,210005,36,2,201102,12867,1297958.0
2011,210005,36,3,201103,12848,1296781.0
2011,210005,36,4,201104,12832,1546206.0
2011,210005,36,5,201105,12777,1540644.0
2011,210005,36,6,201106,12687,1534260.0
2011,210005,36,7,201107,12691,1542576.0
2011,210005,36,8,201108,12482,1531886.0
2011,210005,36,9,201109,12662,1614598.0
2011,210005,36,10,201110,12580,1604850.0
2011,210005,36,11,201111,12790,1642212.0
2011,210005,36,12,201112,12854,1655668.0
2012,210005,19,1,201201,12890,1617522.0
2012,210005,19,2,201202,13046,1635330.0
2012,210005,19,3,201203,13000,1639032.0
2012,210005,19,4,201204,13102,1677572.0
2012,210005,19,5,201205,13163,1696026.0
2012,210005,19,6,201206,13037,1740792.0
2012,210005,19,7,201207,12892,1739662.0
2012,210005,19,8,201208,13181,1792576.0
2012,210005,19,9,201209,13117,1784134.0
2012,210005,19,10,201210,13169,1805250.0
2012,210005,19,11,201211,13232,1814498.0
2012,210005,19,12,201212,13280,1843956.0
2013,210005,36,1,201301,13207,1793990.0
2013,210005,36,2,201302,12863,1760086.0
2013,210005,36,3,201303,12953,1796326.0
2013,210005,36,4,201304,12717,1759600.0
2013,210005,36,5,201305,12717,1764366.0
2013,210005,36,6,201306,12691,1768610.0
2013,210005,36,7,201307,12824,1773710.0
2013,210005,36,8,201308,12926,1790700.0
2013,210005,36,9,201309,13208,1823418.0
2013,210005,36,10,201310,13240,1838196.0
2013,210005,36,11,201311,13037,1797674.0
2013,210005,36,12,201312,13044,1804134.0
2014,210005,36,1,201401,12942,1740000.0
2014,210005,36,2,201402,12942,1765596.0
2014,210005,36,3,201403,13176,1755082.0
2014,210005,36,4,201404,13384,1759842.0
2014,210005,36,5,201405,13241,1742430.0
2014,210005,36,6,201406,13283,1963722.0
2014,210005,36,7,201407,13175,1977013.0
