ano;cod_mun;num_obt
2004;210000;2
2006;210000;2
2007;210000;2
2009;210000;2
2011;210000;5
2012;210000;1
2013;210000;2
2014;210000;3
2015;210000;4
2016;210000;7
2004;210005;54
2005;210005;47
2006;210005;52
2007;210005;53
2008;210005;39
2009;210005;36
2010;210005;29
2011;210005;36
2012;210005;19
2013;210005;36
2014;210005;36
2015;210005;40
2016;210005;39
2004;210010;4
2005;210010;7
2006;210010;4
2007;210010;1
2008;210010;2
2009;210010;2
2010;210010;1
2011;210010;2
2012;210010;1
2013;210010;2
2014;210010;3
2015;210010;4
2016;210010;1
2005;210015;1
2008;210015;1
2009;210015;3
2010;210015;2
2011;210015;3
2012;210015;1
2013;210015;1
2014;210015;1
2015;210015;3
2016;210015;1
2004;210020;6
2005;210020;10
2006;210020;5
2007;210020;3
2008;210020;4
2009;210020;6
2010;210020;9
2011;210020;2
2012;210020;6
2013;210020;5
2014;210020;1
2015;210020;4
2016;210020;3
2004;210030;11
2005;210030;13
2006;210030;13
2007;210030;13
2008;210030;13
2009;210030;12
2010;210030;9
2011;210030;11
2012;210030;6
2013;210030;10
2014;210030;15
2015;210030;3
2016;210030;6
2004;210040;5
2005;210040;6
2006;210040;7
2007;210040;5
2008;210040;3
2009;210040;3
2010;210040;3
2011;210040;1
2012;210040;2
2014;210040;1
2015;210040;2
2016;210040;1
2004;210043;7
2005;210043;6
2006;210043;12
2007;210043;7
2008;210043;6
2009;210043;7
2010;210043;4
2011;210043;7
2012;210043;2
2013;210043;8
2014;210043;13
2015;210043;10
2016;210043;7
2004;210047;18
2005;210047;13
2006;210047;13
2007;210047;9
2008;210047;8
2009;210047;8
2010;210047;3
2011;210047;10
2012;210047;9
2013;210047;4
2014;210047;5
2015;210047;7
2016;210047;8
2005;210050;4
2006;210050;4
2007;210050;1
2008;210050;4
2009;210050;2
2010;210050;4
2011;210050;1
2012;210050;2
2013;210050;1
2014;210050;1
2015;210050;2
2016;210050;2
2004;210055;6
2005;210055;1
2006;210055;5
2007;210055;2
2008;210055;3
2009;210055;3
2010;210055;1
2011;210055;3
2014;210055;2
2015;210055;1
2016;210055;3
2004;210060;8
2005;210060;17
2006;210060;13
2007;210060;25
2008;210060;20
2009;210060;16
2010;210060;10
2011;210060;17
2012;210060;17
2013;210060;22
2014;210060;20
2015;210060;15
2016;210060;9
2004;210070;6
2005;210070;7
2006;210070;4
2007;210070;3
2008;210070;3
2009;210070;5
2010;210070;2
2011;210070;3
2012;210070;5
2013;210070;1
2014;210070;2
2015;210070;3
2016;210070;6
2004;210080;5
2005;210080;6
2006;210080;5
2007;210080;7
2008;210080;5
2009;210080;6
2010;210080;6
2011;210080;2
2012;210080;3
2013;210080;3
2014;210080;7
2015;210080;3
2016;210080;2
2004;210083;3
2005;210083;8
2006;210083;2
2007;210083;2
2008;210083;3
2009;210083;7
2010;210083;4
2011;210083;6
2012;210083;6
2013;210083;5
2014;210083;7
2015;210083;4
2016;210083;6
2004;210087;1
2005;210087;3
2007;210087;1
2008;210087;3
2009;210087;3
2010;210087;2
2011;210087;4
2012;210087;1
2013;210087;3
2015;210087;4
2016;210087;2
2004;210090;3
2005;210090;5
2006;210090;3
2007;210090;3
2008;210090;11
2009;210090;20
2010;210090;6
2011;210090;10
2012;210090;7
2013;210090;9
2014;210090;5
2015;210090;8
2016;210090;11
2004;210095;1
2005;210095;6
2006;210095;13
2007;210095;12
2008;210095;1
2009;210095;12
2010;210095;6
2011;210095;11
